(Compounds Polynucleotides)	SMILES
CPD-2841	[N-]=[N+]=[N-]
B-DARA-HEX-2:5_2:KETO	
B-DARA-HEX-2:6_2:KETO	
B-DGAL-HEX-1:4	
B-DGAL-HEX-1:5	
B-DGAL-HEX-1:5_6:A	
B-DGLC-HEX-1:5	
B-DGLC-HEX-1:5_6:A	
B-DGLC-HEX-1:5_6:D	
B-DGRO-DGAL-NON-2:6_1:A_2:KETO_3:D	
B-DIDO-HEX-1:5_6:A	
B-DMAN-HEX-1:5	
B-DMAN-HEX-1:5_6:A	
B-DMAN-HEX-1:5_6:D	
B-DMAN-OCT-2:6_1:A_2:KETO_3:D	
B-DXYL-PEN-1:5	
B-HEP-1:5	
B-HEX-1:5	
B-HEX-1:5_6:A	
B-LARA-PEN-1:4	
B-LGAL-HEX-1:5	
B-LGAL-HEX-1:5_6:D	
B-LIDO-HEX-1:5_6:A	
B-LMAN-HEX-1:5_6:D	
B-PEN-1:4	
B-PEN-1:5	
B-XGAL-HEX-1:5	
B-XGLC-HEX-1:5_6:A	
B-XXYL-PEN-1:5	
BENZALDEHYDE	C(=O)C1(\C=C/C=C\C=1)
BENZENE	C1(\C=C/C=C\C=1)
BENZIMIDAZOLE	C1(\NC2(\C(\N=1)=C/C=C\C=2))
CPD-20829	C(OP([O-])(=O)[O-])[C@@H]3([C@H]([C@@H](O)[C@@H](N1(\C=N/C2(\C=C/C=C\C/1=2)))O3)O)
BENZOATE	C(C1(\C=C/C=C\C=1))([O-])=O
BENZYL-ALCOHOL	C(C1(\C=C/C=C\C=1))O
CPD-21128	C(C1(\C=C/C=C\C=1))S
CPD-8981	C(CC(N)=O)[NH3+]
B-ALANINE	C(C[NH3+])C([O-])=O
CPD-16470	C([O-])(=O)CC[C@@H](C([O-])=O)NC(=O)C(CC(=O)[O-])(O)CC(=O)[O-]
CPD-22333	C(N)(=O)CC[C@@H](C([O-])=O)NC(=O)C(CC(=O)[O-])(O)CC(=O)[O-]
CELLOBIOSE	C([C@@H]2([C@H]([C@@H]([C@H]([C@H](O[C@@H]1([C@H](O[C@H]([C@@H]([C@H]1O)O)O)CO))O2)O)O)O))O
BETA-D-FRUCTOSE	C(O)[C@H]1(O[C@](O)(CO)[C@H]([C@@H]1O)O)
FRU1P	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@](COP([O-])([O-])=O)(O)O1)
FRUCTOSE-6P	C(OP(=O)([O-])[O-])[C@H]1(O[C@@](CO)(O)[C@@H](O)[C@H](O)1)
CPD-10726	C(O)[C@@]1(O)(OC[C@@H](O)[C@@H](O)[C@H](O)1)
FRUCTOSE-16-DIPHOSPHATE	C([C@@H]1([C@H]([C@@H]([C@](O1)(COP(=O)([O-])[O-])O)O)O))OP([O-])(=O)[O-]
GALACTOSE	C(O)[C@H]1(O[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)1)
CPD-12524	C([O-])(=O)[C@@H]1([C@@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)
GLC	C(O)[C@H]1(O[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)1)
GLC-6-P	C([C@H]1(O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)O))OP([O-])([O-])=O
CPD-12521	[C@H]1(O)([C@@H](O)[C@H](O)O[C@H](C(=O)[O-])[C@@H](O)1)
CPD-21252	C([O-])(=O)[C@H]1(O[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)1)
CPD-12601	C(O)[C@@H]1([C@@H](O)[C@H](O)[C@H](O)[C@H](O)O1)
CPD-15205	C([O-])(=O)[C@H]1(O[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)1)
CPD0-1108	C([C@@H]1([C@@H](O)[C@@H](O)[C@H](O)O1))O
CPD0-1110	C1(O[C@H]([C@@H]([C@@H]([C@@H]1O)O)O)O)
CPD-8259	C(O)[C@@H]1([C@@H](O)[C@@H](O)[C@@H](O1)[N+]2(\C=C/C=C(/C=2)/C(=O)[O-]))
BETA-D-XYLOSE	C1(O[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)1)
CPD-12046	C(O)[C@H]1([C@H](O)[C@@H](O)[C@@H](O)O1)
CPD0-1107	C[C@@H]1(O[C@@H]([C@H]([C@@H]([C@@H]1O)O)O)O)
L-GALACTOSE	C([C@@H]1(O[C@@H]([C@H]([C@@H]([C@@H]1O)O)O)O))O
CPD-21254	C([O-])(=O)[C@@H]1(O[C@H](O)[C@H](O)[C@@H](O)[C@H](O)1)
CPD0-1112	C[C@@H]1(O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)O)
NICOTINAMIDE_NUCLEOTIDE	C(OP(=O)([O-])[O-])[C@@H]1([C@@H](O)[C@@H](O)[C@@H](O1)[N+]2(\C=C/C=C(/C=2)/C(=O)N))
NICOTINATE_NUCLEOTIDE	C(OP([O-])(=O)[O-])[C@@H]1([C@@H](O)[C@@H](O)[C@@H](O1)[N+]2(\C=C/C=C(/C=2)/C(=O)[O-]))
BETAINE_ALDEHYDE	C[N+](C)(CC=O)C
CPD-22401	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(C[N+](C)(C)C)=O)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
BIOTIN	C1(S[C@@H](CCCCC(=O)[O-])[C@H]2(NC(=O)N[C@@H]12))
BIO-5-AMP	C([C@@H]3([C@H]([C@H]([C@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))O3)O)O))OP([O-])(=O)OC(=O)CCCC[C@@H]4(SC[C@@H]5(NC(=O)N[C@H]45))
BIPHENYL-23-DIOL	C2(\C=C/C(/C1(/C(/O)=C(\C=C/C=1)/O))=C\C=2)
CPD-15873	C([C@H]8(O[C@H]%10(NC%11(/N=C(N)\NC(=O)C(/N[C@@H](C9(\S[Mo]4(=O)(SC5(/[C@@H](COP([O-])(=O)OP(=O)([O-])OC[C@@H]1([C@@H](O)[C@@H](O)[C@@H](O1)N2(\C=N/C3(C(=O)NC(/N)=N/C2=3))))O[C@@H]6([C@H](C(\S4)=5)NC7(\C(=O)NC(/N)=N/C(\N6)=7))))SC\8=9))%10)=%11))))OP([O-])(=O)OP(OC[C@@H]%12([C@@H](O)[C@@H](O)[C@@H](O%12)N%13(\C=N/C%14(C(=O)NC(/N)=N/C%13=%14))))([O-])=O
CPD-15874	C([C@H]5(O[C@H]7(NC8(/N=C(N)\NC(=O)C(/N[C@@H](C6(\S[Mo]1(=O)(SC2(/[C@@H](COP([O-])(=O)[O-])O[C@@H]3([C@H](C(\S1)=2)NC4(\C(=O)NC(/N)=N/C(\N3)=4))))SC\5=6))7)=8))))OP([O-])(=O)[O-]
CPD-22352	CCC(C)SP(SC(CC)C)(=O)[O-]
BR-	[Br-]
CPD-614	C(Br)Cl
BUTANAL	CCCC=O
BUTANOL	CCCCO
BUTYRIC_ACID	CCCC(=O)[O-]
BUTYRYL-COA	CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CA+2	[Ca+2]
CADAVERINE	C([NH3+])CCCC[NH3+]
CPD-22346	CCC(C)SP(SC(CC)C)(=O)OCC
CPD-15301	CC(C)CCCC(C)CCCC(C)CCCC(C)CCCC(C)CCCC(C)CCC1(/C(/SC)=C(C2(\C=C/SC(\C(\O)=1)=2))/O)
CPD-9612	CC(C)CCCC(C)CCCC(C)CCCC(C)CCCC(C)CCCC(C)CCC1(/C(=O)C2(/S\C=C/C(/C(=O)C(/SC)=1)=2))
CANAVANINOSUCCINATE	C(ONC(NC(CC(=O)[O-])C(=O)[O-])=[NH2+])C[C@H]([NH3+])C([O-])=O
CARBAMATE	C(=O)([O-])N
CARBAMOYL-P	C(=O)(N)OP(=O)([O-])[O-]
CARBON-MONOXIDE	[C-]#[O+]
H2CO3	C(O)(=O)O
CPD-9995	C(CC[NH3+])[NH2+]CCC([NH3+])C([O-])=O
CPD-18238	C(=O)([O-])OP([O-])(=O)O
CPD-11740	C(P(C([O-])=O)([O-])=O)C(=O)C(=O)[O-]
CPD-10012	C([NH3+])CC[NH2+]CCC[C@H]([NH3+])C([O-])=O
CATECHOL	C1(\C=C/C(/O)=C(\C=1)/O)
CD+2	[Cd+2]
CDP	C([C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O))OP(OP([O-])([O-])=O)([O-])=O
CDP-GROUP	C([C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O))OP(OP([O-])(=O)O)([O-])=O
CPD-19953	CCN1(C(=O)C(=O)N(CC1)C(=O)N[C@H](C2(\C=C/C(/O)=C\C=2))C(=O)N[C@H]5(C(=O)N4(C(C(O)=O)=C(CSC3(\N(C)\N=N/N=3))CS[C@@H]45)))
CHLORAMPHENICOL	C(O)[C@@H](NC(=O)C(Cl)Cl)[C@@H](C1(\C=C/C(/[N+](=O)[O-])=C\C=1))O
CHLORAMPHENICOL-3-ACETATE	CC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@@H](C1(\C=C/C(/[N+](=O)[O-])=C\C=1))O
CPD-22345	CC1(/C2(\C=C/C(/O)=C\C(\OC(C(/Cl)=1)=O)=2))
CL-	[Cl-]
CHLORITE	Cl([O-])=O
CPD-8963	CCOP(OC1(/N=C(C(/Cl)=C\C(\Cl)=1)/Cl))(OCC)=S
CHOLINE	C(CO)[N+](C)(C)C
CPD-543	C[N+](CCOS(=O)(=O)[O-])(C)C
CHORISMATE	C=C(C(=O)[O-])O[C@H]1([C@H](O)\C=C/C(/C([O-])=O)=C\1)
CPD-4422	[Cr](=O)(O)([O-])=[O-]
CPD-674	C(=O)([O-])/C=C/C1(\C=C/C=C\C=1)
CIS-CIS-MUCONATE	C(\C=C/C([O-])=O)=C\C([O-])=O
CPD-1136	CC(\C([O-])=O)=C(CC([O-])=O)\C([O-])=O
CIS-ACONITATE	C([O-])(=O)C(/CC(=O)[O-])=C/C(=O)[O-]
CPD-7417	C([C@H]2(O[C@@H](OC1(\C=C/C=C\C(\C=C/C(=O)[O-])=1))[C@@H]([C@H]([C@@H]2O)O)O))O
4-CARBOXYMETHYLENEBUT-2-EN-4-OLIDE	C1(\C(\OC(=O)\C=1)=C\C(=O)[O-])
CPD-9247	CCCCCC\C=C/CCCCCCCCCC(=O)[O-]
CPD-18346	CCCCCC\C=C/CCCCCCCCCC(=O)SCCNC(=O)CCNC([C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@@H]1([C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](O1)N2(\C=N/C3(C(/N)=N\C=N/C2=3))))=O
2-METHYLMALEATE	CC(\C(=O)[O-])=C\C(=O)[O-]
CIT	C(=O)([O-])CC(C(=O)[O-])(O)CC(=O)[O-]
CLAVAMINATE	[C@H]12(N(C(=O)C1)[C@H](C([O-])=O)C(\O2)=C\C[NH3+])
CMP	C([C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O))OP([O-])([O-])=O
CMP-GROUP	C([C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O))OP(O)([O-])=O
CMP-KDO	C(O)[C@@H](O)[C@H]3(O[C@@](OP(OC[C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O))([O-])=O)(C([O-])=O)C[C@H]([C@H]3O)O)
CMP-N-ACETYL-NEURAMINATE	CC(=O)N[C@@H]3([C@H](C[C@](C([O-])=O)(OP(=O)([O-])OC[C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O))O[C@H]3[C@H](O)[C@H](O)CO)O)
CPD-10755	C[C@H](O)[C@H](NC(=O)C)[C@H]3([C@H]([C@H](C[C@](C([O-])=O)(OP(OC[C@@H]1([C@H]([C@H]([C@@H](O1)N2(\C=C/C(/N)=N\C2=O))O)O))([O-])=O)O3)O)NC(=O)C)
CARBON-DIOXIDE	C(=O)=O
CO+2	[Co+2]
CPD-20853	C[C@@H]2(OP([O-])(=O)O[C@H]1([C@@H](O)[C@H](O[C@H](CO)1)N%14(C%15(/C(/N)=N\C(/C)=N/C(/[N+](/[Co-3]578([N+]%10(/[C@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C(\C(/C)=C9([C@@](CC(=O)N)([C@H](CCC(N)=O)C(\C=C6(C(C)(C)[C@H](CCC(N)=O)C(\C(/C)=C4([C@@](CCC(NC2)=O)([C@@H](CC(N)=O)[C@H]3N45)C))=[N+]6\7))=[N+]89)C))=%10)))(C[C@@H]%11([C@H]([C@@H](O)[C@@H](O%11)N%12(\C=N/C%13(\C/%12=N/C=N\C(/N)=%13)))O)))=C\%14)=%15))))
CPD-20852	C[C@@H]2(OP([O-])(=O)O[C@H]1([C@@H](O)[C@H](O[C@H](COP([O-])(=O)[O-])1)N%14(C%15(/C(/N)=N\C(/C)=N/C(/[N+](/[Co-3]578([N+]%10(/[C@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C(\C(/C)=C9([C@@](CC(=O)N)([C@H](CCC(N)=O)C(\C=C6(C(C)(C)[C@H](CCC(N)=O)C(\C(/C)=C4([C@@](CCC(NC2)=O)([C@@H](CC(N)=O)[C@H]3N45)C))=[N+]6\7))=[N+]89)C))=%10)))(C[C@@H]%11([C@H]([C@@H](O)[C@@H](O%11)N%12(\C=N/C%13(\C/%12=N/C=N\C(/N)=%13)))O)))=C\%14)=%15))))
CPD-20849	C[C@H]2(OP([O-])(=O)O[C@H]1([C@@H](O)[C@H](O[C@H](CO)1)N%14(C%15(/C=C\C(\O)=C/C(/[N+](/[Co-3]578([N+]%10(/[C@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C(\C(/C)=C9([C@@](CC(=O)N)([C@H](CCC(N)=O)C(\C=C6(C(C)(C)[C@H](CCC(N)=O)C(\C(/C)=C4([C@](CCC(NC2)=O)([C@@H](CC(N)=O)[C@H]3N45)C))=[N+]6\7))=[N+]89)C))=%10)))(C[C@@H]%11([C@H]([C@@H](O)[C@@H](O%11)N%12(\C=N/C%13(\C/%12=N/C=N\C(/N)=%13)))O)))=C\%14)=%15))))
CPD-20855	C[C@H]2(OP([O-])(=O)O[C@H]1([C@@H](O)[C@H](O[C@H](COP([O-])(=O)[O-])1)N%14(C%15(/C=C\C(\O)=C/C(/[N+](/[Co-3]578([N+]%10(/[C@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C(\C(/C)=C9([C@@](CC(=O)N)([C@H](CCC(N)=O)C(\C=C6(C(C)(C)[C@H](CCC(N)=O)C(\C(/C)=C4([C@](CCC(NC2)=O)([C@@H](CC(N)=O)[C@H]3N45)C))=[N+]6\7))=[N+]89)C))=%10)))(C[C@@H]%11([C@H]([C@@H](O)[C@@H](O%11)N%12(\C=N/C%13(\C/%12=N/C=N\C(/N)=%13)))O)))=C\%14)=%15))))
CPD-20848	CC%15(/C=C2(C(/[N+]3(/[Co-3]689([N+]%11(/[C@]4(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C(\C(/C)=C%10([C@@](CC(=O)N)([C@H](CCC(N)=O)C(\C=C7(C(C)(C)[C@H](CCC(N)=O)C(\C(/C)=C5([C@](CCC(NC[C@@H](C)OP([O-])(=O)O[C@H]1([C@@H](O)[C@H](O[C@H](CO)1)N2/C=3))=O)([C@@H](CC(N)=O)[C@H]4N56)C))=[N+]7\8))=[N+]9%10)C))=%11)))(C[C@@H]%12([C@H]([C@@H](O)[C@@H](O%12)N%13(\C=N/C%14(\C/%13=N/C=N\C(/N)=%14)))O))))=C\C(\OC)=%15))
CPD-20836	CC%15(/C=C2(C(/[N+]3(/[Co-3]689([N+]%11(/[C@]4(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C(\C(/C)=C%10([C@@](CC(=O)N)([C@H](CCC(N)=O)C(\C=C7(C(C)(C)[C@H](CCC(N)=O)C(\C(/C)=C5([C@](CCC(NC[C@@H](C)OP([O-])(=O)O[C@H]1([C@@H](O)[C@H](O[C@H](COP([O-])(=O)[O-])1)N2/C=3))=O)([C@@H](CC(N)=O)[C@H]4N56)C))=[N+]7\8))=[N+]9%10)C))=%11)))(C[C@@H]%12([C@H]([C@@H](O)[C@@H](O%12)N%13(\C=N/C%14(\C/%13=N/C=N\C(/N)=%14)))O))))=C\C(\OC)=%15))
CPD-20847	C[C@H]2(OP([O-])(=O)O[C@H]1([C@@H](O)[C@H](O[C@H](CO)1)N%14(C%15(\C(\[N+](\[Co-3]578([N+]%10(/[C@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C(\C(/C)=C9([C@@](CC(=O)N)([C@H](CCC(N)=O)C(\C=C6(C(C)(C)[C@H](CCC(N)=O)C(\C(/C)=C4([C@](CCC(NC2)=O)([C@@H](CC(N)=O)[C@H]3N45)C))=[N+]6\7))=[N+]89)C))=%10)))(C[C@@H]%11([C@H]([C@@H](O)[C@@H](O%11)N%12(\C=N/C%13(\C/%12=N/C=N\C(/N)=%13)))O)))=C/%14)=C/C(/OC)=C\C=%15))))
CPD-13940	C[C@H]2(OP([O-])(=O)O[C@H]1([C@@H](O)[C@H](O[C@H](COP([O-])(=O)[O-])1)N%14(C%15(\C(\[N+](\[Co-3]578([N+]%10(/[C@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C(\C(/C)=C9([C@@](CC(=O)N)([C@H](CCC(N)=O)C(\C=C6(C(C)(C)[C@H](CCC(N)=O)C(\C(/C)=C4([C@](CCC(NC2)=O)([C@@H](CC(N)=O)[C@H]3N45)C))=[N+]6\7))=[N+]89)C))=%10)))(C[C@@H]%11([C@H]([C@@H](O)[C@@H](O%11)N%12(\C=N/C%13(\C/%12=N/C=N\C(/N)=%13)))O)))=C/%14)=C/C(/OC)=C\C=%15))))
CPD-20846	CC%12(\C=C/C%13(/N%14([C@H]%15(O[C@H](CO)[C@@H](OP([O-])(=O)O[C@H](C)CNC(=O)CC[C@@]1([C@@H](CC(N)=O)[C@@H]2([C@@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C4(\C(/C)=C7([C@@](CC(=O)N)([C@H](CCC(N)=O)C8(\C=C5(C(C)(C)[C@H](CCC(N)=O)C6(\C(/C)=C1/N2[Co-3]([N+]\3=4)([N+]\5=6)([N+]7=8)(C[C@@H]9([C@H]([C@@H](O)[C@@H](O9)N%10(\C=N/C%11(\C/%10=N/C=N\C(/N)=%11)))O))[N+](\C(/C=%12)=%13)=C/%14))))C)))))(C))[C@@H](O)%15))))
CPD-20839	CC%12(\C=C/C%13(/N%14([C@H]%15(O[C@H](COP([O-])(=O)[O-])[C@@H](OP([O-])(=O)O[C@H](C)CNC(=O)CC[C@@]1([C@@H](CC(N)=O)[C@@H]2([C@@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C4(\C(/C)=C7([C@@](CC(=O)N)([C@H](CCC(N)=O)C8(\C=C5(C(C)(C)[C@H](CCC(N)=O)C6(\C(/C)=C1/N2[Co-3]([N+]\3=4)([N+]\5=6)([N+]7=8)(C[C@@H]9([C@H]([C@@H](O)[C@@H](O9)N%10(\C=N/C%11(\C/%10=N/C=N\C(/N)=%11)))O))[N+](\C(/C=%12)=%13)=C/%14))))C)))))(C))[C@@H](O)%15))))
CPD-17189	C[C@@H]2(OP([O-])(=O)O[C@H]1([C@@H](O)[C@H](O[C@H](CO)1)N%14(C%15(/C(/N)=N\C=N/C(/[N+](/[Co-3]578([N+]%10(/[C@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C(\C(/C)=C9([C@@](CC(=O)N)([C@H](CCC(N)=O)C(\C=C6(C(C)(C)[C@H](CCC(N)=O)C(\C(/C)=C4([C@@](CCC(NC2)=O)([C@@H](CC(N)=O)[C@H]3N45)C))=[N+]6\7))=[N+]89)C))=%10)))(C[C@@H]%11([C@H]([C@@H](O)[C@@H](O%11)N%12(\C=N/C%13(\C/%12=N/C=N\C(/N)=%13)))O)))=C\%14)=%15))))
CPD-20856	C[C@@H]2(OP([O-])(=O)O[C@H]1([C@@H](O)[C@H](O[C@H](COP([O-])(=O)[O-])1)N%14(C%15(/C(/N)=N\C=N/C(/[N+](/[Co-3]578([N+]%10(/[C@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C(\C(/C)=C9([C@@](CC(=O)N)([C@H](CCC(N)=O)C(\C=C6(C(C)(C)[C@H](CCC(N)=O)C(\C(/C)=C4([C@@](CCC(NC2)=O)([C@@H](CC(N)=O)[C@H]3N45)C))=[N+]6\7))=[N+]89)C))=%10)))(C[C@@H]%11([C@H]([C@@H](O)[C@@H](O%11)N%12(\C=N/C%13(\C/%12=N/C=N\C(/N)=%13)))O)))=C\%14)=%15))))
CPD-20845	C[C@H]2(OP([O-])(=O)O[C@H]1([C@@H](O)[C@H](O[C@H](CO)1)N%14(C%15(\C(\[N+](\[Co-3]578([N+]%10(/[C@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C(\C(/C)=C9([C@@](CC(=O)N)([C@H](CCC(N)=O)C(\C=C6(C(C)(C)[C@H](CCC(N)=O)C(\C(/C)=C4([C@](CCC(NC2)=O)([C@@H](CC(N)=O)[C@H]3N45)C))=[N+]6\7))=[N+]89)C))=%10)))(C[C@@H]%11([C@H]([C@@H](O)[C@@H](O%11)N%12(\C=N/C%13(\C/%12=N/C=N\C(/N)=%13)))O)))=C/%14)=C/C=C\C=%15))))
CPD-20833	C[C@H]2(OP([O-])(=O)O[C@H]1([C@@H](O)[C@H](O[C@H](COP([O-])(=O)[O-])1)N%14(C%15(\C(\[N+](\[Co-3]578([N+]%10(/[C@]3(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C(\C(/C)=C9([C@@](CC(=O)N)([C@H](CCC(N)=O)C(\C=C6(C(C)(C)[C@H](CCC(N)=O)C(\C(/C)=C4([C@](CCC(NC2)=O)([C@@H](CC(N)=O)[C@H]3N45)C))=[N+]6\7))=[N+]89)C))=%10)))(C[C@@H]%11([C@H]([C@@H](O)[C@@H](O%11)N%12(\C=N/C%13(\C/%12=N/C=N\C(/N)=%13)))O)))=C/%14)=C/C=C\C=%15))))
COB-I-ALAMIN	CC%12(\C=C8(C(/N9([C@H]%11(O[C@H](CO)[C@@H](OP([O-])(=O)O[C@H](C)CNC(=O)CC[C@]1(C)([C@@H](CC(N)=O)[C@@H]%10([C@@]6(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C7(\C(/C)=C4([C@](CC(=O)N)(C)[C@H](CCC(N)=O)C5(\C=C2(C(C)(C)[C@H](CCC(N)=O)C3(\C(/C)=C1/N([Co-4]([N+]\2=3)([N+]4=5)([N+]\6=7)[N+]/8=C/9)%10)))))))))[C@@H](O)%11)))=C\C(/C)=%12))
CPD-20909	CC3(\C8(/[C@@H](CCC([O-])=O)[C@](C)(C)C4(\[N+](\[Co-3]25([N+]7(/[C@]([C@@H]1([C@@H]([C@](CCC([O-])=O)(C)C(\N12)=3)CC([O-])=O))(C)[C@@](C)(CC(N)=O)[C@H](CCC(=O)[O-])C(\C(/C)=C6([C@@](C)(CC(N)=O)[C@@H](C(\C=4)=[N+]56)CCC([O-])=O))=7)))=8))).[a [corrinoid adenosyltransferase]]
CPD-1829	CC%12(\C=C8(C(/N9([C@H]%11(O[C@H](CO)[C@@H](OP([O-])(=O)O[C@H](C)CNC(=O)CC[C@]1(C)([C@@H](CC(N)=O)[C@@H]%10([C@@]4(C)([C@@](C)(CC(N)=O)[C@H](CCC(=O)N)C5(\C(/C)=C6([C@](CC(=O)N)(C)[C@H](CCC(N)=O)C7(\C=C2(C(C)(C)[C@H](CCC(N)=O)C3(\C(/C)=C1/N([Co-3]([N+]\2=3)([N+]\4=5)([N+]6=7)[N+]/8=C/9)%10)))))))))[C@@H](O)%11)))=C\C(/C)=%12))
CPD-20903	C[C@@H](O)CNC(=O)CC[C@]1(C)([C@@H](CC(=O)N)[C@@H]8([C@@]6(C)([C@@](C)(CC(N)=O)[C@H](CCC(N)=O)C7(\C(/C)=C4([C@@](C)(CC(N)=O)[C@H](CCC(N)=O)C5(\C=C2(C(C)(C)[C@H](CCC(N)=O)C3(\C(/C)=C1/N([Co-2]([N+]\2=3)([N+]4=5)[N+]\6=7)8))))))))
CPD-689	CC3(\C8(/[C@@H](CCC([O-])=O)[C@](C)(C)C4(\[N+](\[Co-2]25([N+]7(/[C@]([C@@H]1([C@@H]([C@](CCC([O-])=O)(C)C(\N12)=3)CC([O-])=O))(C)[C@@](C)(CC(N)=O)[C@H](CCC(=O)[O-])C(\C(/C)=C6([C@@](C)(CC(N)=O)[C@@H](C(\C=4)=[N+]56)CCC([O-])=O))=7)))=8)))
CPD-20908	CC3(\C8(/[C@@H](CCC([O-])=O)[C@](C)(C)C4(\[N+](\[Co-2]25([N+]7(/[C@]([C@@H]1([C@@H]([C@](CCC([O-])=O)(C)C(\N12)=3)CC([O-])=O))(C)[C@@](C)(CC(N)=O)[C@H](CCC(=O)[O-])C(\C(/C)=C6([C@@](C)(CC(N)=O)[C@@H](C(\C=4)=[N+]56)CCC([O-])=O))=7)))=8))).[a [corrinoid adenosyltransferase]]
CPD-15182	CC2(\C8(/[C@@H](CCC([O-])=O)[C@](C)(C)C3(\[N+](\[Co-2]47(N1([C@@H]([C@@H]([C@](CCC([O-])=O)(C)C/1=2)CC([O-])=O)[C@@]6(C)([C@@](C)(CC([O-])=O)[C@H](CCC(=O)[O-])C(\C(/C)=C5([C@@](C)(CC(N)=O)[C@@H](C(\C=3)=[N+]45)CCC([O-])=O))=[N+]6\7))))=8)))
COBALT-FACTOR-III	CC5(\C8(\N2(C(/C=C6(C(/CCC(=O)[O-])=C(CC(=O)[O-])/C7(\C=C1([C@@H](CCC(=O)[O-])[C@](C)(CC(=O)[O-])C3(\N1[Co-2]2([N+]4(C(/[C@@](C)(CC(=O)[O-])[C@H](CCC(=O)[O-])C(\C=3)=4)=5))[N+]/6=7)))))=C(CCC(=O)[O-])/C(\CC(=O)[O-])=8)))
CPD-9040	CC7(\C2(\N1([Co-2]35([N+]8(C(/CC/1=C(CCC(=O)[O-])\C(/CC(=O)[O-])=2)=C(CCC(=O)[O-])/C(CC(=O)[O-])C(\C=C4([C@@H](CCC(=O)[O-])[C@](C)(CC(=O)[O-])C(\N34)=C\C6([C@@H](CCC(=O)[O-])[C@](C(\[N+]5=6)=7)(C)CC([O-])=O)))=8)))))
CPD-9041	CC3(OC(=O)C[C@@]4(C)([C@H](CCC(=O)[O-])C8(\N2([Co-2]15([N+]9(\C(/CC7(\N1C(/CC6(/[C@](C)(CCC(=O)[O-])C(/CC(=O)[O-])=C([C@@]234)/[N+]\5=6))=C(CCC(=O)[O-])/C(\CC(=O)[O-])=7))=C(CCC(=O)[O-])/[C@](C)(CC(=O)[O-])C(\C=8)=9))))))
CPD-9042	CC1(C49([C@@](C)(CC(=O)O1)[C@@H](C7(\N([Co-2]25([N+]8(\C(/C[C@]3(C)(N2C(/C(\CCC(=O)[O-])=C(CC(=O)[O-])\3)=C/C6(/[C@](C)(CCC(=O)[O-])C(/CC(=O)[O-])=C4/[N+]\5=6)))=C(CCC(=O)[O-])/[C@](C)(CC(=O)[O-])C(\C=7)=8)))9))CCC(=O)[O-]))
